rating_cleanliness,response_time,url,accuracy_rating,room_type,price,person_capacity,rating_checkin,rating_communication,satisfaction_guest,host_id,amenities,response_rate,hosting_id,bed_type,instant_book,cancel_policy,rev_count,nightly_price
,10758.5,https://www.airbnb.com/rooms/16189105,,Entire home/apt,75.0,2,,,,29290131,"[4, 8, 30, 31, 33, 34, 40, 41, 44, 49]",0.9440000057220459,16189105,Real Bed,False,5,0,$75
10,7207.0,https://www.airbnb.com/rooms/6852699,10,Entire home/apt,149.0,2,10,10,99,3786490,"[1, 4, 8, 28, 30, 31, 35, 36, 39, 40, 41, 44, 45]",1.0,6852699,Real Bed,False,4,22,$149
9,2053.0,https://www.airbnb.com/rooms/5552105,9,Private room,109.0,2,9,9,86,28426323,"[3, 4, 5, 8, 25, 30, 32, 33, 34, 35, 36, 39, 40, 41, 43, 46, 47]",1.0,5552105,Real Bed,False,5,99,$109
8,2403.5,https://www.airbnb.com/rooms/7811596,10,Entire home/apt,169.0,4,10,10,85,3285407,"[1, 3, 4, 8, 30, 35, 39, 40, 41, 44, 47, 49, 50]",1.0,7811596,Real Bed,False,4,8,$169
8,682.0,https://www.airbnb.com/rooms/14321757,9,Private room,60.0,1,9,9,80,72782262,"[3, 4, 8, 40, 42, 44, 45, 49, 50]",0.9890000224113464,14321757,Real Bed,True,4,23,$60
10,705.5,https://www.airbnb.com/rooms/13606695,10,Private room,110.0,2,10,10,98,29073776,"[3, 4, 30, 31, 35, 36, 40, 41, 42, 43, 44, 47, 50]",1.0,13606695,Real Bed,False,3,36,$110
10,70.0,https://www.airbnb.com/rooms/15149051,10,Entire home/apt,400.0,2,10,10,99,96092167,"[1, 4, 5, 7, 8, 15, 21, 25, 30, 33, 34, 35, 36, 40, 41, 42, 43, 44, 45, 46, 47, 49, 50]",1.0,15149051,Real Bed,True,5,16,$400
10,1.0,https://www.airbnb.com/rooms/6629798,10,Private room,120.0,2,10,10,96,1483039,"[3, 4, 8, 27, 28, 30, 31, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46, 47, 50]",1.0,6629798,Real Bed,True,5,131,$120
10,28.0,https://www.airbnb.com/rooms/15086385,10,Entire home/apt,250.0,2,10,10,98,15103537,"[1, 4, 8, 30, 31, 33, 34, 35, 36, 40, 41, 42, 44, 45, 46, 47]",1.0,15086385,Real Bed,False,5,16,$250
9,3298.0,https://www.airbnb.com/rooms/15756104,9,Private room,142.0,4,9,9,89,101854648,"[1, 3, 4, 5, 7, 8, 9, 12, 14, 15, 16, 17, 18, 21, 27, 28, 30, 31, 33, 34, 40, 41, 44, 45, 46, 47, 50]",0.9409999847412109,15756104,Real Bed,True,5,8,$142
10,1.0,https://www.airbnb.com/rooms/10836169,10,Private room,96.0,1,10,10,97,9422162,"[3, 4, 8, 30, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46, 49, 50]",1.0,10836169,Futon,False,5,50,$96
9,1.0,https://www.airbnb.com/rooms/12027959,8,Private room,103.0,2,9,9,84,225662,"[1, 3, 4, 5, 7, 8, 15, 21, 25, 30, 32, 33, 34, 35, 36, 37, 39, 40, 41, 44, 45, 46, 47, 49, 50]",1.0,12027959,Real Bed,True,4,15,$103
10,220.0,https://www.airbnb.com/rooms/5196195,9,Entire home/apt,109.0,2,10,9,89,26653520,"[3, 4, 8, 30, 35, 39, 40, 41]",0.9800000190734863,5196195,Real Bed,True,4,15,$109
9,1.0,https://www.airbnb.com/rooms/14507492,10,Private room,140.0,2,10,10,97,41512875,"[1, 3, 4, 8, 30, 33, 34, 35, 36, 37, 40, 41, 42, 43, 44, 45, 46, 47, 49, 50]",1.0,14507492,Real Bed,False,5,6,$140
10,1.0,https://www.airbnb.com/rooms/16134663,9,Shared room,44.0,1,10,10,87,17431710,"[3, 4, 5, 6, 8, 14, 15, 21, 30, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49]",0.9380000233650208,16134663,Real Bed,False,5,6,$44
9,565.5,https://www.airbnb.com/rooms/9172460,10,Entire home/apt,245.0,2,10,10,96,47733748,"[1, 3, 4, 8, 16, 28, 30, 35, 36, 39, 40, 41, 43, 44, 45, 46, 47, 49, 50]",1.0,9172460,Real Bed,False,5,16,$245
9,14865.0,https://www.airbnb.com/rooms/12846271,10,Private room,80.0,2,10,10,94,70159165,"[1, 2, 3, 4, 8, 9, 12, 17, 18, 27, 30, 33, 34, 35, 36, 39, 40, 41, 42, 43, 44, 45, 47, 49, 50]",0.9440000057220459,12846271,Real Bed,False,3,64,$80
9,2308.0,https://www.airbnb.com/rooms/352165,9,Entire home/apt,115.0,3,9,9,87,1783772,"[1, 2, 3, 4, 17, 30, 33, 34, 35, 40]",1.0,352165,Real Bed,False,5,118,$115
,69.0,https://www.airbnb.com/rooms/16634307,,Entire home/apt,100.0,2,,,,95976020,"[49, 50]",1.0,16634307,Real Bed,False,3,0,$100
9,1.0,https://www.airbnb.com/rooms/15675657,10,Entire home/apt,90.0,2,9,10,95,17042045,"[1, 4, 8, 21, 30, 33, 34, 40, 41, 49, 50]",0.9169999957084656,15675657,Real Bed,True,3,11,$90
9,1.0,https://www.airbnb.com/rooms/4902729,9,Private room,49.0,2,10,10,89,25176023,"[4, 8, 28, 35, 36, 38, 41, 42, 44, 45, 46, 47]",1.0,4902729,Real Bed,True,4,90,$49
9,3485.0,https://www.airbnb.com/rooms/16231784,10,Entire home/apt,110.0,2,10,10,100,18346972,"[1, 4, 8, 21, 30, 31, 33, 34, 35, 36, 40, 41, 44, 45, 47]",1.0,16231784,Real Bed,False,4,7,$110
10,,https://www.airbnb.com/rooms/14012294,10,Private room,125.0,2,10,10,100,83786804,"[4, 8, 30, 33, 34, 35, 36, 37, 38, 39, 40, 42, 45, 47, 49, 50]",,14012294,Real Bed,False,3,1,$125
10,9.0,https://www.airbnb.com/rooms/14471904,9,Private room,135.0,2,10,10,89,39482052,"[3, 4, 8, 21, 30, 31, 33, 34, 35, 36, 39, 40, 41, 42, 43, 44, 45, 46, 47, 50]",1.0,14471904,Real Bed,True,5,16,$135
10,1.0,https://www.airbnb.com/rooms/15903424,10,Private room,89.0,2,10,10,100,88656778,"[1, 3, 4, 8, 30, 35, 37, 39, 40, 41, 44, 45, 47, 50]",1.0,15903424,Real Bed,True,4,6,$89
9,455.0,https://www.airbnb.com/rooms/1069167,9,Private room,76.0,2,10,10,92,511458,"[3, 4, 8, 9, 17, 18, 19, 30, 31, 35, 36, 39, 40, 41, 42, 43, 44, 45, 46]",0.9169999957084656,1069167,Real Bed,False,5,166,$76
9,704.0,https://www.airbnb.com/rooms/63247,9,Entire home/apt,149.0,2,10,9,90,290120,"[1, 3, 4, 30]",1.0,63247,Real Bed,False,5,205,$149
5,170.0,https://www.airbnb.com/rooms/15746324,5,Shared room,32.0,1,8,8,70,100893068,"[4, 5, 8, 30, 40, 41, 44, 47, 49, 50]",1.0,15746324,Real Bed,True,5,2,$32
10,84.5,https://www.airbnb.com/rooms/2876562,10,Entire home/apt,175.0,5,10,10,96,997788,"[1, 3, 4, 8, 9, 30, 31, 33, 34, 35, 36, 37, 39, 40, 41, 43, 44, 45, 46, 47]",1.0,2876562,Real Bed,False,4,193,$175
9,2.0,https://www.airbnb.com/rooms/13641058,10,Entire home/apt,160.0,2,10,10,94,33387303,"[1, 4, 8, 30, 31, 39, 40, 41, 44, 46, 47]",1.0,13641058,Real Bed,True,3,14,$160
,734.0,https://www.airbnb.com/rooms/16542790,,Private room,56.0,1,,,,2513762,"[3, 4, 17, 18, 30, 33, 34, 40, 47, 49, 50, 57]",1.0,16542790,Real Bed,False,4,0,$56
9,7286.5,https://www.airbnb.com/rooms/15495326,8,Entire home/apt,160.0,3,9,10,90,30923231,"[5, 8, 15, 21, 25, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 42, 44]",1.0,15495326,Real Bed,False,5,8,$160
10,3121.5,https://www.airbnb.com/rooms/10106139,10,Private room,79.0,2,10,10,97,51862877,"[4, 8, 12, 17, 18, 30, 35, 36, 41, 42, 43, 44]",1.0,10106139,Futon,False,3,27,$79
,781.0,https://www.airbnb.com/rooms/15781602,,Private room,65.0,2,,,,3158728,"[1, 3, 4, 8, 30, 33, 34, 35, 36, 37, 39, 40, 41, 43, 44, 45, 46, 47, 50]",1.0,15781602,Real Bed,False,5,0,$65
10,1581.0,https://www.airbnb.com/rooms/16070696,10,Private room,99.0,2,10,10,100,3353539,"[1, 2, 3, 4, 8, 11, 12, 16, 17, 18, 27, 28, 30, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 50]",1.0,16070696,Real Bed,False,5,2,$99
10,9417.0,https://www.airbnb.com/rooms/10503631,10,Entire home/apt,140.0,3,10,10,94,1038826,"[1, 2, 3, 4, 8, 35, 36, 37, 38, 39, 40, 41, 45, 46]",0.9089999794960022,10503631,Real Bed,False,5,25,$140
10,1.5,https://www.airbnb.com/rooms/15325058,9,Entire home/apt,350.0,2,10,10,90,97659199,"[3, 4, 8, 30, 35, 36, 40, 41, 43, 44, 45, 46, 47, 49, 50]",1.0,15325058,Real Bed,True,5,4,$350
10,1187.0,https://www.airbnb.com/rooms/13879420,10,Entire home/apt,450.0,4,10,10,100,82037623,"[1, 4, 5, 8, 15, 21, 27, 30, 31, 33, 34, 35, 36, 40, 41, 42, 44, 45, 46]",1.0,13879420,Real Bed,True,3,1,$450
10,4629.0,https://www.airbnb.com/rooms/15383658,10,Private room,60.0,2,10,10,98,17536951,"[1, 4, 8, 30, 35, 36, 39, 40, 41, 42, 44, 45, 46, 47, 49, 50]",1.0,15383658,Real Bed,False,4,9,$60
10,10783.0,https://www.airbnb.com/rooms/16088162,10,Private room,56.0,1,10,10,88,4694479,"[4, 30, 40, 41, 42, 44, 49, 50]",1.0,16088162,Real Bed,False,4,5,$56
10,306.5,https://www.airbnb.com/rooms/13774014,10,Entire home/apt,99.0,3,10,10,96,2993432,"[4, 8, 17, 18, 30, 35, 36, 39, 40, 42, 44, 45, 46, 47]",1.0,13774014,Real Bed,False,5,30,$99
,152.0,https://www.airbnb.com/rooms/16237836,,Entire home/apt,250.0,6,,,,1550635,"[4, 8, 9, 17, 30, 31, 32, 33, 34, 35, 36, 39, 40, 41]",1.0,16237836,Real Bed,False,5,0,$250
10,1902.5,https://www.airbnb.com/rooms/7547105,10,Private room,125.0,1,10,10,96,39547914,"[4, 30, 35, 40, 41, 44, 45, 46, 47, 49, 50]",1.0,7547105,Real Bed,False,3,54,$125
9,1.0,https://www.airbnb.com/rooms/15423910,10,Private room,100.0,2,10,10,96,78278397,"[3, 4, 5, 8, 30, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 50]",1.0,15423910,Real Bed,False,4,14,$100
10,1256.5,https://www.airbnb.com/rooms/470686,10,Private room,125.0,2,10,10,98,2335495,"[1, 3, 4, 6, 8, 21, 25, 28, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47]",1.0,470686,Real Bed,False,3,174,$125
10,3397.0,https://www.airbnb.com/rooms/16483113,10,Private room,79.0,2,10,10,100,15929288,"[3, 4, 8, 9, 27, 30, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 44, 47, 49]",1.0,16483113,Real Bed,False,4,1,$79
9,1.0,https://www.airbnb.com/rooms/15073660,9,Entire home/apt,200.0,2,10,10,90,427130,"[1, 4, 8, 21, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]",1.0,15073660,Real Bed,True,5,4,$200
9,1.0,https://www.airbnb.com/rooms/9545064,10,Private room,109.0,2,10,10,95,49431904,"[1, 3, 4, 8, 17, 27, 30, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47]",1.0,9545064,Real Bed,True,3,70,$109
9,,https://www.airbnb.com/rooms/11496841,9,Entire home/apt,126.0,2,9,10,87,60543430,"[1, 2, 4, 8, 30, 35, 44, 45, 46]",,11496841,Real Bed,True,3,6,$126
10,256.0,https://www.airbnb.com/rooms/12511163,10,Private room,50.0,3,10,10,98,31755831,"[1, 3, 4, 8, 9, 17, 18, 30, 33, 34, 37, 39, 42]",1.0,12511163,Real Bed,False,3,74,$50
9,330.0,https://www.airbnb.com/rooms/9586291,9,Entire home/apt,115.0,2,10,10,88,22864774,"[3, 4, 8, 21, 30, 35, 39, 40, 45, 46, 47]",1.0,9586291,Real Bed,False,4,5,$115
9,1.0,https://www.airbnb.com/rooms/3268637,9,Private room,70.0,1,10,10,93,11655078,"[4, 8, 11, 30, 33, 34, 35, 37, 39, 40, 49, 50]",1.0,3268637,Futon,True,3,268,$70
9,1.0,https://www.airbnb.com/rooms/14963288,9,Entire home/apt,110.0,2,9,9,89,17042045,"[1, 4, 8, 30, 33, 34, 40, 41, 49, 50]",0.9169999957084656,14963288,Real Bed,True,3,23,$110
9,1459.0,https://www.airbnb.com/rooms/2134100,10,Entire home/apt,135.0,2,10,9,93,10889606,"[1, 2, 3, 4, 8, 15, 17, 18, 27, 30, 31, 35, 36, 40, 44, 45, 46, 47]",0.8460000157356262,2134100,Real Bed,False,4,235,$135
7,,https://www.airbnb.com/rooms/11064517,9,Entire home/apt,129.0,2,10,10,80,12270828,"[1, 3, 4, 8, 14, 15, 21, 28, 30, 33, 34, 40, 41, 44, 45, 47]",,11064517,Real Bed,True,3,4,$129
10,10666.0,https://www.airbnb.com/rooms/2074584,10,Entire home/apt,206.0,2,10,10,96,301914,"[1, 2, 4, 8, 30, 31, 35, 36, 37, 39, 40, 41, 43, 44, 45, 46, 47]",0.9229999780654907,2074584,Real Bed,False,5,111,$206
,1.0,https://www.airbnb.com/rooms/16860517,,Entire home/apt,116.0,2,,,,26955543,"[1, 2, 3, 4, 5, 15, 21, 30, 31, 33, 34, 35, 36, 40, 43, 44, 45, 46, 47]",1.0,16860517,Real Bed,True,5,0,$116
10,3182.5,https://www.airbnb.com/rooms/14296659,10,Private room,70.0,2,10,10,98,16633260,"[1, 3, 4, 5, 8, 9, 15, 30, 33, 34, 35, 36, 39, 40, 41, 42, 44, 45, 46, 47, 49, 50]",1.0,14296659,Real Bed,False,4,25,$70
9,2625.0,https://www.airbnb.com/rooms/164207,10,Private room,99.0,2,10,10,96,783438,"[1, 3, 4, 8, 9, 30, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47]",1.0,164207,Real Bed,False,4,244,$99
9,3603.0,https://www.airbnb.com/rooms/14945151,10,Entire home/apt,114.0,2,10,10,91,2776233,"[1, 3, 4, 8, 30, 35, 36, 40, 41, 44, 49, 50]",1.0,14945151,Real Bed,False,3,10,$114
10,1.0,https://www.airbnb.com/rooms/6092596,10,Entire home/apt,174.0,2,10,10,98,31603026,"[1, 2, 3, 4, 28, 30, 31, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47]",1.0,6092596,Real Bed,True,3,172,$174
10,4837.0,https://www.airbnb.com/rooms/10940485,10,Private room,115.0,2,10,10,99,6493976,"[1, 2, 3, 4, 8, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 44, 45, 46, 47]",1.0,10940485,Real Bed,False,3,25,$115
9,1984.0,https://www.airbnb.com/rooms/6713445,9,Entire home/apt,200.0,4,10,10,86,965865,"[1, 2, 3, 4, 8, 12, 17, 18, 30, 31, 35, 36, 39, 40, 43, 45]",1.0,6713445,Real Bed,False,5,70,$200
9,1.0,https://www.airbnb.com/rooms/12510982,9,Entire home/apt,110.0,2,9,9,88,17042045,"[1, 2, 4, 8, 16, 21, 28, 30, 31, 33, 34, 43, 50]",0.9169999957084656,12510982,Real Bed,True,3,34,$110
10,1.0,https://www.airbnb.com/rooms/16086843,10,Private room,109.0,2,10,10,91,93714995,"[1, 4, 21, 30, 31, 33, 34, 35, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47]",1.0,16086843,Real Bed,True,3,16,$109
9,1555.0,https://www.airbnb.com/rooms/2782602,9,Private room,129.0,3,10,10,93,14232249,"[1, 3, 4, 8, 16, 30, 40, 41, 49, 50]",1.0,2782602,Real Bed,False,4,217,$129
10,40.0,https://www.airbnb.com/rooms/16565600,10,Private room,105.0,1,10,10,100,109113193,"[1, 2, 3, 4, 8, 9, 27, 30, 33, 34, 35, 36, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49]",1.0,16565600,Real Bed,False,5,1,$105
10,14417.5,https://www.airbnb.com/rooms/4965866,10,Entire home/apt,175.0,2,10,10,91,21694486,"[1, 4, 8, 30, 39, 40, 44, 45, 46, 49, 50]",1.0,4965866,Real Bed,False,5,44,$175
10,4400.5,https://www.airbnb.com/rooms/1967457,10,Entire home/apt,80.0,2,10,10,96,4318558,"[3, 4, 8, 17, 18, 30, 33, 34, 35, 37, 39, 40, 41, 44, 45, 46, 47, 49, 50]",1.0,1967457,Real Bed,False,5,11,$80
10,9846.5,https://www.airbnb.com/rooms/10747219,10,Entire home/apt,198.0,3,10,10,97,53307355,"[1, 2, 4, 8, 12, 30, 35, 36, 39, 40, 41, 43, 44, 45, 46, 47, 49, 50]",1.0,10747219,Real Bed,False,4,20,$198
,330.0,https://www.airbnb.com/rooms/16743969,,Private room,79.0,2,,,,40835535,"[3, 4, 5, 7, 8, 12, 15, 21, 27, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 45, 47]",1.0,16743969,Real Bed,True,5,0,$79
,,https://www.airbnb.com/rooms/10939669,,Entire home/apt,325.0,3,,,,11559470,"[1, 4, 8, 21, 41, 43, 47]",,10939669,Real Bed,False,3,0,$325
10,,https://www.airbnb.com/rooms/15565615,10,Private room,69.0,2,10,9,100,7840215,"[1, 2, 3, 4, 8, 30, 33, 34, 35, 40, 41, 43, 44, 45, 47, 49, 50]",,15565615,Real Bed,False,3,2,$69
10,70918.5,https://www.airbnb.com/rooms/7937598,10,Entire home/apt,130.0,2,10,9,90,2231262,"[1, 3, 4, 8, 9, 16, 17, 21, 30, 33, 34, 35, 36, 40, 41, 44, 45, 46, 47]",0.800000011920929,7937598,Real Bed,False,3,16,$130
9,3163.0,https://www.airbnb.com/rooms/406930,10,Private room,110.0,2,10,10,96,2027068,"[3, 4, 5, 8, 12, 17, 30, 31, 33, 34, 35, 36, 37, 39, 40, 41]",1.0,406930,Real Bed,False,3,202,$110
9,3538.5,https://www.airbnb.com/rooms/1033012,10,Private room,79.0,1,10,10,96,873316,"[2, 3, 4, 8, 17, 18, 33, 34, 40, 45, 46, 49, 50]",1.0,1033012,Real Bed,False,4,163,$79
10,1157.0,https://www.airbnb.com/rooms/6117147,10,Entire home/apt,119.0,2,10,10,98,6872494,"[4, 9, 11, 17, 18, 30, 31, 35, 36, 37, 38, 39, 40, 41]",1.0,6117147,Real Bed,False,3,41,$119
7,5103.0,https://www.airbnb.com/rooms/16322899,9,Private room,65.0,2,10,10,92,17982999,"[1, 4, 8, 30, 33, 34, 35, 36, 40, 44, 45, 46, 49, 50]",0.8790000081062317,16322899,Real Bed,False,3,6,$65
10,6022.5,https://www.airbnb.com/rooms/882409,10,Private room,80.0,1,10,10,94,238982,"[3, 4, 8, 16, 28, 30, 33, 34, 35, 36, 37, 39, 44, 45, 46, 47]",1.0,882409,Real Bed,False,5,238,$80
